Step,time,passes,recirculated,discarded,keff,keff_relative_uncertainty,keff_absolute_uncertainty,neutrons_per_cycle,power_normalization_value,DEM_step_increment,threshold_fuel,time_step
171,2139.552000000004,8.551366906474835,1563.0,333.0,1.0151690037927952,0.000548581667487,0.0005569031048817,50000,10000000.0,1,72,12.512
172,2152.064000000004,8.601374900079952,1563.0,365.0,1.0149244119424947,0.0005811336035385,0.0005898066808313,50000,10000000.0,1,72,12.512
173,2164.576000000004,8.651382893685067,1563.0,341.0,1.0163874257552836,0.0005755223916071,0.0005849537220701,50000,10000000.0,1,72,12.512
174,2177.088000000004,8.701390887290184,1563.0,362.0,1.016724707302182,0.0005513617360485,0.0005605830997016,50000,10000000.0,1,72,12.512
175,2189.600000000004,8.7513988808953,1563.0,331.0,1.0162205688431123,0.0005508582714411,0.0005597935059558,50000,10000000.0,1,72,12.512
176,2202.112000000004,8.801406874500417,1563.0,317.0,1.01820431653882,0.0005648154920333,0.0005750975720363,50000,10000000.0,1,72,12.512
177,2214.6240000000043,8.851414868105532,1563.0,362.0,1.0185883380424448,0.000559796913813,0.000570202608082,50000,10000000.0,1,72,12.512
178,2227.1360000000045,8.90142286171065,1563.0,338.0,1.0178356351804498,0.000554309196502,0.000564195653108,50000,10000000.0,1,72,12.512
179,2239.6480000000047,8.951430855315767,1563.0,306.0,1.017739847640018,0.0005536926535689,0.0005635150768826,50000,10000000.0,1,72,12.512
180,2252.160000000005,9.001438848920882,1563.0,301.0,1.0180935828007325,0.0005596774053419,0.0005698039748171,50000,10000000.0,1,72,12.512
181,2264.672000000005,9.051446842526,1563.0,332.0,1.017729416100301,0.0005446773476842,0.0005543341590217,50000,10000000.0,1,72,12.512
182,2277.184000000005,9.101454836131117,1563.0,327.0,1.0202902356325472,0.0006027111317402,0.0006149402826216,50000,10000000.0,1,72,12.512
183,2289.6960000000054,9.151462829736232,1563.0,288.0,1.019001152439942,0.0005282715314283,0.0005383092993267,50000,10000000.0,1,72,12.512
184,2302.208000000005,9.201470823341348,1563.0,306.0,1.0184442901823925,0.0005830421145824,0.0005937959125323,50000,10000000.0,1,72,12.512
185,2314.7200000000057,9.251478816946465,1563.0,302.0,1.0171486340329416,0.0005744745716463,0.0005843260258367,50000,10000000.0,1,72,12.512
186,2327.232000000006,9.301486810551582,1563.0,293.0,1.0175468275972406,0.0005553565173123,0.0005651012623766,50000,10000000.0,1,72,12.512
187,2339.7440000000056,9.351494804156696,1563.0,287.0,1.0179859935983635,0.0005647610958712,0.0005749188853261,50000,10000000.0,1,72,12.512
188,2352.2560000000058,9.401502797761816,1563.0,283.0,1.0181875968911682,0.0005632266914091,0.0005734704314308,50000,10000000.0,1,72,12.512
189,2364.768000000006,9.45151079136693,1563.0,296.0,1.0174680679320869,0.0005614345681854,0.0005712417453619,50000,10000000.0,1,72,12.512
